gid,val,school,parking,home,mercantile,social,public,subway,val_2,val_3,bus_stops,drt,area,yn,total_tota,total_bus,frequency,score
다바690732,0.0000000000000000000000000000000,538.430795162572508,951.151861543612654,790.167545642021764,494.598596823496280,4151.836404324064461,325.349832898798695,1741.727244225605091,0.0000000000000000000000000000000,0.0000000000000000000000000000000,65.027915094184380,527.891266548218596,2910.076,1,0,0,99,0.592768655234553
다바663728,0.0000000000000000000000000000000,468.426019475018450,730.664144502681779,656.875925287575910,2328.024804518653127,5113.564804430525328,1383.617454964929721,2721.451715498218164,0.0000000000000000000000000000000,0.0000000000000000000000000000000,238.579523725172493,236.081864610660745,8461.122,0,0,0,0,0.680093872997906
다바659743,0.0000000000000000000000000000000,1381.702070780007261,415.379843703481583,1915.634450338533952,2163.950402443272651,3883.695956342123736,486.189965324616026,2343.984678940231788,0.0000000000000000000000000000000,0.0000000000000000000000000000000,130.153705889347322,133.179568102776102,3386.157,1,0,0,97,0.596475718009971
다바659742,0.0000000000000000000000000000000,1478.402042318907661,320.458939289131877,1837.123302116907553,2167.153729024125369,3978.246105069881651,493.150659757194035,2365.117098461594651,0.0000000000000000000000000000000,0.0000000000000000000000000000000,48.629969041731862,36.978899720786949,3815.286,1,0,0,97,0.609687433849857
다바687712,0.0000000000000000000000000000000,159.909522013871225,443.554447392501402,396.828637645729088,1271.799161086437380,5338.253921665123926,473.254039376495882,575.816388779658951,0.0000000000000000000000000000000,0.0000000000000000000000000000000,214.175690703991251,2258.845504468469244,5620.664,1,0,0,0,0.592832289408822
다바651693,172.0000000000000000000000000000000,344.578645610455510,174.932856165682750,190.640647089435561,557.329015540671662,1432.847334683029658,330.573374638969199,3284.922019883294524,6.0000000000000000000000000000000,39.0000000000000000000000000000000,142.764700754468237,2905.263811004429499,4015.360,0,0,0,0,0.565048375740415
다바692695,178.0000000000000000000000000000000,326.482379095456849,291.739912626193870,225.294809037956298,501.861809716530615,3746.943983557026968,145.394497304103254,1257.126325094463709,27.0000000000000000000000000000000,19.0000000000000000000000000000000,205.632749430890868,3825.896748759064394,5011.662,0,0,0,0,0.583976276735978
다바680695,258.0000000000000000000000000000000,135.820214697154057,358.421522507430666,1021.982227953209190,657.038730404096100,3892.941840412359852,486.227402469725860,1297.549468709252096,49.0000000000000000000000000000000,9.9999999999999982236431605997495,127.055465748433789,3025.037799251771503,4502.394,0,0,0,0,0.568552143839490
다바680708,318.0000000000000000000000000000000,210.856985896480381,243.092822449536698,734.870278040882340,644.083401667330122,4537.752713833267080,741.446806848716164,665.891398991571123,30.0000000000000000000000000000000,41.0000000000000000000000000000000,203.188958549022630,2076.246338234711857,5232.060,0,0,0,0,0.593872685114065
다바665725,0.0000000000000000000000000000000,190.963151441228888,428.373356280375219,313.354199040850006,2399.119802993277517,4919.413582964387388,1348.867467694425841,2818.599094878373762,0.0000000000000000000000000000000,0.0000000000000000000000000000000,3.060553845872186,4.845768277177356,4111.757,1,0,0,29,0.566529598484567
